ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,disease_trend,disease_trend_lower,disease_trend_upper,doctor_visits,doctor_visits_lower,doctor_visits_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,marketing_spend,marketing_spend_lower,marketing_spend_upper,stock_level,stock_level_lower,stock_level_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,arima_correction,yhat_hybrid,prophet_rop,arophet_median,arophet_rop,arophet_lower,arophet_upper
2025-01-01,1199.372771741676,996.194391474712,1379.1826760699923,1199.372771741676,1199.372771741676,-9.016058254559658,-9.016058254559658,-9.016058254559658,-9.159526081463996,-9.159526081463996,-9.159526081463996,1.2487629648845364,1.2487629648845364,1.2487629648845364,-7.932940793206829,-7.932940793206829,-7.932940793206829,-0.040574819507794554,-0.040574819507794554,-0.040574819507794554,0.018397142880423625,0.018397142880423625,0.018397142880423625,-1.0831174613528285,-1.0831174613528285,-1.0831174613528285,0.0,0.0,0.0,1190.3567134871162,57.52258252306126,1247.8792960101773,1001.53075090424,1247.8792960101773,1216.902697486213,1216.902697486213,1278.8558945341417
2025-02-01,1199.338113840914,1041.0172572860224,1404.8730153732963,1199.3381086887337,1199.338118264038,17.11405875671229,17.11405875671229,17.11405875671229,-9.159526081463996,-9.159526081463996,-9.159526081463996,1.2487629648845364,1.2487629648845364,1.2487629648845364,-7.932940793206829,-7.932940793206829,-7.932940793206829,-0.040574819507794554,-0.040574819507794554,-0.040574819507794554,0.018397142880423625,0.018397142880423625,0.018397142880423625,25.046999549919118,25.046999549919118,25.046999549919118,0.0,0.0,0.0,1216.4521725976263,38.443333227278764,1254.895505824905,1028.0313298219562,1254.895505824905,1223.9189073009406,1223.9189073009406,1285.8721043488695
2025-03-01,1199.3068099305483,1019.408287951612,1390.6202904826816,1199.306797447115,1199.306823839709,6.350707440224754,6.350707440224754,6.350707440224754,-9.159526081463996,-9.159526081463996,-9.159526081463996,1.2487629648845364,1.2487629648845364,1.2487629648845364,-7.932940793206829,-7.932940793206829,-7.932940793206829,-0.040574819507794554,-0.040574819507794554,-0.040574819507794554,0.018397142880423625,0.018397142880423625,0.018397142880423625,14.283648233431586,14.283648233431586,14.283648233431586,0.0,0.0,0.0,1205.6575173707731,25.702884541087773,1231.360401911861,1020.6947442588646,1231.360401911861,1200.3838033878965,1200.3838033878965,1262.3370004358253
2025-04-01,1199.2721520297864,1023.5638809185975,1402.3477187124774,1199.272126961054,1199.2721776272572,13.185804342015842,13.185804342015842,13.185804342015842,-9.159526081463996,-9.159526081463996,-9.159526081463996,1.2487629648845364,1.2487629648845364,1.2487629648845364,-7.932940793206829,-7.932940793206829,-7.932940793206829,-0.040574819507794554,-0.040574819507794554,-0.040574819507794554,0.018397142880423625,0.018397142880423625,0.018397142880423625,21.118745135222667,21.118745135222667,21.118745135222667,0.0,0.0,0.0,1212.4579563718023,17.195262977520976,1229.6532193493233,1022.5681940311272,1229.6532193493233,1198.676620825359,1198.676620825359,1260.6298178732877
2025-05-01,1199.2386121258232,1022.0430151322824,1398.894152339585,1199.2385732208365,1199.2386519009788,9.291575426824746,9.291575426824746,9.291575426824746,-9.159526081463996,-9.159526081463996,-9.159526081463996,1.2487629648845364,1.2487629648845364,1.2487629648845364,-7.932940793206829,-7.932940793206829,-7.932940793206829,-0.040574819507794554,-0.040574819507794554,-0.040574819507794554,0.018397142880423625,0.018397142880423625,0.018397142880423625,17.224516220031575,17.224516220031575,17.224516220031575,0.0,0.0,0.0,1208.530187552648,11.514173837597909,1220.0443613902457,1018.1662227657109,1220.0443613902457,1189.0677628662813,1189.0677628662813,1251.0209599142102
2025-06-01,1199.2039542250614,989.5502828215034,1359.415889820635,1199.2039011627462,1199.204010615855,-13.526564682498702,-13.526564682498702,-13.526564682498702,-9.159526081463996,-9.159526081463996,-9.159526081463996,1.2487629648845364,1.2487629648845364,1.2487629648845364,-7.932940793206829,-7.932940793206829,-7.932940793206829,-0.040574819507794554,-0.040574819507794554,-0.040574819507794554,0.018397142880423625,0.018397142880423625,0.018397142880423625,-5.59362388929187,-5.59362388929187,-5.59362388929187,0.0,0.0,0.0,1185.6773895425627,7.720543200103886,1193.3979327426666,1011.9388892644904,1193.3979327426666,1162.4213342187022,1162.4213342187022,1224.374531266631
2025-07-01,1199.1704143210982,977.9286345206351,1358.2505628177519,1199.1703426451413,1199.1704927865442,-31.145618550140394,-31.145618550140394,-31.145618550140394,-9.159526081463996,-9.159526081463996,-9.159526081463996,1.2487629648845364,1.2487629648845364,1.2487629648845364,-7.932940793206829,-7.932940793206829,-7.932940793206829,-0.040574819507794554,-0.040574819507794554,-0.040574819507794554,0.018397142880423625,0.018397142880423625,0.018397142880423625,-23.212677756933562,-23.212677756933562,-23.212677756933562,0.0,0.0,0.0,1168.0247957709578,5.1872906741756974,1173.2120864451335,977.7990287241637,1173.2120864451335,1142.2354879211691,1142.2354879211691,1204.188684969098
2025-08-01,1199.1357564203363,1011.8243105007986,1374.2363676579616,1199.135666592384,1199.135858109777,-11.473094089101815,-11.473094089101815,-11.473094089101815,-9.159526081463996,-9.159526081463996,-9.159526081463996,1.2487629648845364,1.2487629648845364,1.2487629648845364,-7.932940793206829,-7.932940793206829,-7.932940793206829,-0.040574819507794554,-0.040574819507794554,-0.040574819507794554,0.018397142880423625,0.018397142880423625,0.018397142880423625,-3.540153295894986,-3.540153295894986,-3.540153295894986,0.0,0.0,0.0,1187.6626623312345,3.4956741270358576,1191.1583364582705,1001.0889570045074,1191.1583364582705,1160.181737934306,1160.181737934306,1222.1349349822349
2025-09-01,1199.1010985195744,993.2946565532159,1366.0166685974589,1199.100989156214,1199.1012203970631,-14.10267684911684,-14.10267684911684,-14.10267684911684,-9.159526081463996,-9.159526081463996,-9.159526081463996,1.2487629648845364,1.2487629648845364,1.2487629648845364,-7.932940793206829,-7.932940793206829,-7.932940793206829,-0.040574819507794554,-0.040574819507794554,-0.040574819507794554,0.018397142880423625,0.018397142880423625,0.018397142880423625,-6.16973605591001,-6.16973605591001,-6.16973605591001,0.0,0.0,0.0,1184.9984216704577,2.366072354899529,1187.364494025357,1003.9801747434565,1187.364494025357,1156.3878955013927,1156.3878955013927,1218.3410925493215
2025-10-01,1199.0675586156112,970.2987623257233,1334.6837663918582,1199.0674309612832,1199.0677041536042,-43.25183740888485,-43.25183740888485,-43.25183740888485,-9.159526081463996,-9.159526081463996,-9.159526081463996,1.2487629648845364,1.2487629648845364,1.2487629648845364,-7.932940793206829,-7.932940793206829,-7.932940793206829,-0.040574819507794554,-0.040574819507794554,-0.040574819507794554,0.018397142880423625,0.018397142880423625,0.018397142880423625,-35.31889661567803,-35.31889661567803,-35.31889661567803,0.0,0.0,0.0,1155.8157212067263,1.6117641957774296,1157.4274854025036,976.9476760215944,1157.4274854025036,1126.4508868785392,1126.4508868785392,1188.404083926468
